Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.016667,0.100246,-0.438999,0.000000,0.100246,-0.438999,0.000000,-0.255873,0.256023,0.873635,-0.015461,0.009972,0.048945,0.100246,-0.438999,0.000000
0.033333,0.072545,-0.442164,0.000000,0.099713,-0.439151,-0.000070,-0.504944,0.510645,1.745456,-0.029676,0.019892,0.097926,-1.201449,-0.403549,-0.008588
0.050000,0.162430,-0.421613,0.000000,0.100987,-0.438870,-0.000149,-0.743992,0.760148,2.616575,-0.043444,0.030684,0.146533,-2.534974,-0.378060,-0.018376
0.066667,0.151868,-0.455596,-0.000000,0.102035,-0.439285,-0.000206,-0.983750,1.013088,3.481657,-0.057002,0.041181,0.196116,-3.897853,-0.348837,-0.027855
0.083333,0.124331,-0.390255,0.000000,0.102502,-0.438374,-0.000272,-1.222173,1.270258,4.341012,-0.071316,0.052607,0.244964,-5.269825,-0.325529,-0.039620
0.100000,0.158963,-0.442322,0.000000,0.103642,-0.438542,-0.000356,-1.458644,1.528008,5.193417,-0.086326,0.063019,0.292566,-6.656239,-0.294409,-0.053722
0.116667,0.127899,-0.390605,0.000000,0.104137,-0.437673,-0.000419,-1.689309,1.781387,6.043917,-0.101283,0.073323,0.341380,-8.038092,-0.276420,-0.067196
0.133333,0.141471,-0.407154,0.000000,0.104895,-0.437143,-0.000491,-1.921849,2.041113,6.883358,-0.116709,0.084700,0.389320,-9.436283,-0.257215,-0.082095
0.150000,0.103695,-0.459711,0.000000,0.104891,-0.437684,-0.000571,-2.144450,2.292762,7.722631,-0.131252,0.095066,0.436895,-10.821699,-0.232509,-0.098054
0.166667,0.141693,-0.414701,0.000000,0.105638,-0.437294,-0.000640,-2.359964,2.543301,8.560266,-0.146131,0.106599,0.485121,-12.207226,-0.208788,-0.115511
0.183333,0.120952,-0.400857,0.000000,0.105965,-0.436644,-0.000707,-2.568404,2.788810,9.395013,-0.160320,0.117415,0.533417,-13.588562,-0.188905,-0.133552
0.200000,0.141548,-0.397016,0.000000,0.106697,-0.435921,-0.000793,-2.775478,3.036312,10.219487,-0.174786,0.129107,0.580374,-14.978026,-0.172167,-0.153151
0.216667,0.162398,-0.421537,0.000000,0.107842,-0.435723,-0.000857,-2.973082,3.275948,11.043891,-0.188356,0.139325,0.628681,-16.364521,-0.155529,-0.171444
0.233333,0.127930,-0.390703,0.000000,0.108274,-0.434903,-0.000920,-3.171223,3.521366,11.858202,-0.202388,0.150667,0.676686,-17.757328,-0.139083,-0.191608
0.250000,0.141667,-0.462998,0.000000,0.108962,-0.435564,-0.000972,-3.357101,3.752642,12.676344,-0.216365,0.160072,0.725693,-19.144417,-0.120432,-0.210027
0.266667,0.134699,-0.435175,0.000000,0.109488,-0.435616,-0.001022,-3.538135,3.981918,13.488846,-0.230914,0.171774,0.774702,-20.534498,-0.105179,-0.228878
0.283333,0.141599,-0.428241,-0.000000,0.110150,-0.435558,-0.001062,-3.713364,4.209393,14.298285,-0.244831,0.181852,0.824276,-21.927376,-0.087975,-0.248691
0.300000,0.100307,-0.408135,-0.000000,0.109974,-0.435109,-0.001131,-3.885721,4.434764,15.098577,-0.258962,0.191494,0.871995,-23.324497,-0.075128,-0.270239
0.316667,0.124459,-0.414855,-0.000000,0.110264,-0.434794,-0.001198,-4.057272,4.660336,15.887676,-0.274568,0.202005,0.919534,-24.732676,-0.065296,-0.290924
0.333333,0.141650,-0.428396,-0.000000,0.110913,-0.434766,-0.001244,-4.216907,4.878847,16.681591,-0.288436,0.211545,0.968522,-26.140322,-0.049929,-0.312638
0.350000,0.148558,-0.449126,0.000000,0.111676,-0.435152,-0.001309,-4.373531,5.095209,17.466494,-0.303032,0.221193,1.016267,-27.556894,-0.035696,-0.335145
0.366667,0.117544,-0.407937,0.000000,0.111804,-0.434698,-0.001353,-4.520911,5.303710,18.253136,-0.317229,0.231052,1.065395,-28.975866,-0.023279,-0.357658
0.383333,0.134732,-0.438733,0.000000,0.112283,-0.434858,-0.001386,-4.663270,5.511589,19.034575,-0.330880,0.241598,1.115061,-30.403675,-0.007148,-0.380831
0.400000,0.145051,-0.435149,0.000000,0.112959,-0.434954,-0.001428,-4.791799,5.701958,19.820456,-0.343656,0.250586,1.164652,-31.834181,0.004134,-0.402735
0.416667,0.186599,-0.400831,0.000000,0.114432,-0.434371,-0.001480,-4.927754,5.905886,20.584311,-0.358721,0.260395,1.212957,-33.286461,0.014310,-0.426826
0.433333,0.248661,-0.376438,0.000000,0.117147,-0.433282,-0.001522,-5.050694,6.100841,21.350336,-0.371364,0.271428,1.262174,-34.745728,0.023633,-0.451234
0.450000,0.131165,-0.431460,0.000000,0.117438,-0.433345,-0.001562,-5.174234,6.292138,22.106432,-0.385672,0.280857,1.311218,-36.217091,0.032491,-0.473335
0.466667,0.197033,-0.411345,-0.000000,0.119041,-0.432994,-0.001611,-5.290122,6.476255,22.856901,-0.399701,0.290671,1.359807,-37.702072,0.037040,-0.494543
0.483333,0.138260,-0.466621,0.000000,0.119445,-0.433767,-0.001638,-5.403744,6.660609,23.601112,-0.413475,0.300148,1.409402,-39.200218,0.046994,-0.515483
0.500000,0.058772,-0.470165,0.000000,0.118242,-0.434564,-0.001676,-5.511439,6.840261,24.345669,-0.427580,0.311034,1.458566,-40.709690,0.060341,-0.539680
0.516667,0.172641,-0.393612,0.000000,0.119371,-0.433825,-0.001723,-5.611891,7.015387,25.079077,-0.439903,0.321568,1.507091,-42.236668,0.065098,-0.562403
0.533333,0.051888,-0.480826,-0.000000,0.118042,-0.434864,-0.001779,-5.711749,7.188182,25.807854,-0.453667,0.330944,1.554958,-43.779026,0.076109,-0.586495
0.550000,0.169339,-0.397422,0.000000,0.119078,-0.434205,-0.001824,-5.803462,7.353271,26.531864,-0.467583,0.340756,1.603565,-45.340981,0.080080,-0.608803
0.566667,0.169146,-0.421130,0.000000,0.120100,-0.434023,-0.001877,-5.888610,7.511184,27.250669,-0.480752,0.350881,1.651701,-46.919960,0.082974,-0.629903
0.583333,0.210759,-0.421510,-0.000000,0.121924,-0.433873,-0.001920,-5.971014,7.667380,27.961411,-0.494655,0.360135,1.700303,-48.520351,0.085994,-0.649965
0.600000,0.058733,-0.407670,0.000000,0.120671,-0.433448,-0.001971,-6.053843,7.824282,28.662462,-0.509117,0.369751,1.748056,-50.139061,0.089604,-0.671791
0.616667,0.038044,-0.394255,-0.000000,0.119039,-0.432754,-0.002021,-6.130273,7.974532,29.359886,-0.522807,0.379715,1.795923,-51.776688,0.091709,-0.692974
0.633333,0.124384,-0.393874,0.000000,0.119186,-0.432066,-0.002061,-6.199864,8.122659,30.053829,-0.535141,0.389767,1.844400,-53.435528,0.096195,-0.715465
0.650000,0.103608,-0.431694,-0.000000,0.118895,-0.432158,-0.002100,-6.267576,8.265161,30.737915,-0.548850,0.399271,1.892809,-55.117542,0.099385,-0.734732
0.666667,0.103608,-0.431694,0.000000,0.118620,-0.432219,-0.002098,-6.327363,8.401774,31.424940,-0.561518,0.410124,1.943776,-56.820099,0.106122,-0.754434
0.683333,0.172888,-0.414929,0.000000,0.119726,-0.431942,-0.002136,-6.384671,8.537803,32.100735,-0.574906,0.421310,1.992271,-58.547474,0.111042,-0.776407
0.700000,0.131204,-0.417781,0.000000,0.119976,-0.431759,-0.002173,-6.439885,8.671361,32.770050,-0.588519,0.430976,2.040650,-60.297607,0.116986,-0.798914
0.716667,0.210762,-0.376595,0.000000,0.121822,-0.430745,-0.002191,-6.489417,8.798773,33.427963,-0.601563,0.441338,2.090151,-62.071777,0.117390,-0.816024
0.733333,0.145194,-0.400998,0.000000,0.122300,-0.430250,-0.002217,-6.536503,8.920513,34.082893,-0.615718,0.450919,2.139143,-63.869427,0.119197,-0.833495
0.750000,0.110482,-0.410851,0.000000,0.122064,-0.429941,-0.002253,-6.578115,9.036145,34.740772,-0.629972,0.461150,2.187820,-65.690086,0.123593,-0.854441
0.766667,0.155340,-0.434939,0.000000,0.122760,-0.430121,-0.002298,-6.612330,9.144797,35.394707,-0.642178,0.471100,2.236066,-67.532722,0.127699,-0.874532
0.783333,0.127899,-0.428629,0.000000,0.122884,-0.430181,-0.002342,-6.646812,9.250486,36.030991,-0.655604,0.480956,2.284004,-69.399544,0.127448,-0.888868
0.800000,0.089779,-0.448883,0.000000,0.122242,-0.430635,-0.002365,-6.675006,9.350198,36.675282,-0.668406,0.490794,2.333439,-71.288673,0.133050,-0.907564
0.816667,0.124261,-0.434913,0.000000,0.122293,-0.430800,-0.002388,-6.701587,9.449497,37.309803,-0.682028,0.501018,2.382699,-73.201370,0.138505,-0.926897
0.833333,0.169125,-0.472852,0.000000,0.123250,-0.431720,-0.002430,-6.727285,9.550453,37.928440,-0.695657,0.511899,2.430433,-75.135635,0.144574,-0.946770
0.850000,0.124339,-0.421360,0.000000,0.123253,-0.431623,-0.002451,-6.749695,9.641651,38.549793,-0.711141,0.520556,2.479625,-77.093460,0.149132,-0.964783
0.866667,0.103546,-0.441788,0.000000,0.122879,-0.431906,-0.002472,-6.769471,9.736195,39.160629,-0.724771,0.531488,2.528504,-79.068947,0.156573,-0.987210
0.883333,0.193240,-0.431328,0.000000,0.124307,-0.431974,-0.002483,-6.784909,9.825508,39.761314,-0.738390,0.542540,2.577930,-81.064156,0.161504,-1.005343
0.900000,0.141710,-0.425119,0.000000,0.124675,-0.431936,-0.002513,-6.798320,9.910452,40.356510,-0.752078,0.552426,2.626180,-83.077507,0.165772,-1.024085
0.916667,0.103652,-0.400781,0.000000,0.124275,-0.431403,-0.002533,-6.807670,9.988167,40.948219,-0.765539,0.562570,2.675162,-85.108444,0.168033,-1.040036
0.933333,0.158982,-0.425096,0.000000,0.124990,-0.431346,-0.002552,-6.814013,10.066656,41.536392,-0.778962,0.574051,2.724086,-87.155190,0.173928,-1.061936
0.950000,0.145046,-0.397135,0.000000,0.125401,-0.430742,-0.002581,-6.819482,10.142416,42.114128,-0.793242,0.585241,2.772264,-89.216393,0.177532,-1.082456
0.966667,0.107028,-0.428113,0.000000,0.125055,-0.430779,-0.002610,-6.821764,10.214454,42.691521,-0.806813,0.595687,2.820528,-91.290230,0.184097,-1.106692
0.983333,0.117523,-0.421690,-0.000000,0.124934,-0.430677,-0.002637,-6.819723,10.281116,43.264790,-0.819589,0.606506,2.868904,-93.375320,0.189447,-1.130146
1.000000,0.138105,-0.431566,0.000000,0.125218,-0.430774,-0.002645,-6.813321,10.339683,43.837402,-0.832498,0.616854,2.918703,-95.471779,0.194992,-1.151000
1.016667,0.148575,-0.407716,0.000000,0.125706,-0.430393,-0.002672,-6.805320,10.398996,44.405617,-0.845478,0.627465,2.967236,-97.575684,0.200753,-1.178407
1.033333,0.127794,-0.431723,0.000000,0.125768,-0.430509,-0.002708,-6.796597,10.454453,44.960625,-0.858867,0.637761,3.014996,-99.684357,0.205067,-1.201309
1.050000,0.183031,-0.462746,0.000000,0.126944,-0.431253,-0.002724,-6.784467,10.506637,45.509151,-0.871722,0.647630,3.063868,-101.795464,0.211368,-1.223495
1.066667,0.155534,-0.442402,0.000000,0.127546,-0.431546,-0.002729,-6.769023,10.553612,46.055225,-0.884278,0.658882,3.113485,-103.909927,0.216015,-1.244627
1.083333,0.127868,-0.438892,-0.000000,0.127573,-0.431782,-0.002735,-6.752187,10.595366,46.596443,-0.897393,0.668890,3.163144,-106.025337,0.220476,-1.264014
1.100000,0.110589,-0.404335,0.000000,0.127244,-0.431333,-0.002760,-6.733912,10.634164,47.135471,-0.910938,0.678239,3.211705,-108.140068,0.223665,-1.286603
1.116667,0.145139,-0.393945,0.000000,0.127612,-0.430675,-0.002785,-6.714430,10.673840,47.665596,-0.924757,0.688620,3.260044,-110.248642,0.226532,-1.311798
1.133333,0.155452,-0.397255,0.000000,0.128190,-0.430096,-0.002800,-6.690724,10.707768,48.196705,-0.937538,0.698574,3.309214,-112.352325,0.229877,-1.337939
1.150000,0.117381,-0.400470,-0.000000,0.127984,-0.429593,-0.002824,-6.665638,10.735991,48.723434,-0.950749,0.708237,3.357919,-114.449799,0.232007,-1.361739
1.166667,0.120876,-0.424786,0.000000,0.127842,-0.429587,-0.002837,-6.639576,10.761447,49.243660,-0.964638,0.717989,3.407153,-116.536896,0.235092,-1.384988
1.183333,0.124426,-0.445858,0.000000,0.127805,-0.430022,-0.002851,-6.609492,10.781007,49.759590,-0.976631,0.726379,3.456497,-118.610733,0.238876,-1.405637
1.200000,0.145148,-0.421613,0.000000,0.128162,-0.429953,-0.002854,-6.579301,10.801102,50.269569,-0.989935,0.735682,3.506279,-120.670044,0.242216,-1.429719
1.216667,0.113989,-0.442136,0.000000,0.127899,-0.430276,-0.002867,-6.548181,10.819852,50.770367,-1.002914,0.746304,3.555337,-122.711769,0.244676,-1.453018
1.233333,0.120898,-0.431772,0.000000,0.127769,-0.430396,-0.002869,-6.514688,10.834333,51.274956,-1.015965,0.755942,3.605237,-124.738983,0.247809,-1.481244
1.250000,0.131252,-0.404119,0.000000,0.127869,-0.429960,-0.002892,-6.479540,10.847779,51.768341,-1.028157,0.765950,3.653776,-126.743202,0.248490,-1.507225
1.266667,0.141710,-0.445858,0.000000,0.128177,-0.430358,-0.002904,-6.442619,10.858280,52.258049,-1.040261,0.776426,3.702942,-128.726395,0.250331,-1.534041
1.283333,0.155396,-0.407473,0.000000,0.128752,-0.429990,-0.002916,-6.403178,10.863523,52.745724,-1.051998,0.786021,3.752295,-130.688812,0.250814,-1.558862
1.300000,0.127892,-0.380216,0.000000,0.128745,-0.429084,-0.002948,-6.364673,10.866462,53.224171,-1.065096,0.795765,3.800381,-132.627625,0.249182,-1.580366
1.316667,0.145139,-0.438868,0.000000,0.129103,-0.429369,-0.002969,-6.322758,10.866699,53.706532,-1.076613,0.805134,3.849260,-134.541946,0.249892,-1.610058
1.333333,0.134699,-0.424815,-0.000000,0.129226,-0.429348,-0.003000,-6.282603,10.868120,54.175072,-1.089876,0.816264,3.897209,-136.426788,0.248494,-1.637038
1.350000,0.152060,-0.421613,0.000000,0.129703,-0.429282,-0.003030,-6.239735,10.860717,54.633110,-1.102423,0.825947,3.945288,-138.283661,0.247625,-1.648846
1.366667,0.107102,-0.386940,0.000000,0.129272,-0.428535,-0.003029,-6.196634,10.854783,55.093838,-1.114975,0.835263,3.995064,-140.112488,0.247076,-1.672922
1.383333,0.093281,-0.383487,0.000000,0.128582,-0.427724,-0.003058,-6.152984,10.850533,55.552280,-1.127010,0.845314,4.043009,-141.910843,0.244322,-1.706184
1.400000,0.148480,-0.445428,0.000000,0.128991,-0.428157,-0.003087,-6.107307,10.839015,56.009201,-1.139601,0.855224,4.091303,-143.682693,0.242901,-1.734140
1.416667,0.141548,-0.393565,0.000000,0.129253,-0.427555,-0.003105,-6.061944,10.830104,56.460522,-1.152581,0.865202,4.139904,-145.420151,0.240007,-1.769192
1.433333,0.138160,-0.424837,0.000000,0.129441,-0.427581,-0.003113,-6.015976,10.817115,56.899734,-1.165806,0.875860,4.188978,-147.123901,0.238297,-1.793898
1.450000,0.110589,-0.428526,0.000000,0.129085,-0.427669,-0.003131,-5.969725,10.804807,57.334145,-1.178644,0.887314,4.237333,-148.793976,0.235336,-1.823159
1.466667,0.172825,-0.418234,-0.000000,0.129990,-0.427570,-0.003148,-5.920332,10.785432,57.762718,-1.190529,0.897256,4.285908,-150.431595,0.233598,-1.842766
1.483333,0.169186,-0.448852,0.000000,0.130775,-0.428075,-0.003165,-5.872769,10.768235,58.189812,-1.204317,0.908041,4.334348,-152.036606,0.231165,-1.872915
1.500000,0.145151,-0.431983,0.000000,0.131093,-0.428243,-0.003202,-5.822663,10.745560,58.612362,-1.216089,0.917844,4.381812,-153.609680,0.228463,-1.897036
1.516667,0.103664,-0.425017,0.000000,0.130545,-0.428268,-0.003228,-5.775814,10.724751,59.022427,-1.230419,0.928492,4.429385,-155.145813,0.225815,-1.920796
1.533333,0.152069,-0.432006,0.000000,0.131006,-0.428442,-0.003233,-5.725130,10.701924,59.436295,-1.242534,0.938302,4.478342,-156.648621,0.223353,-1.952227
1.550000,0.124376,-0.421487,0.000000,0.130894,-0.428413,-0.003259,-5.673582,10.672788,59.854485,-1.254417,0.946582,4.526625,-158.126251,0.220198,-1.984287
1.566667,0.155424,-0.397183,0.000000,0.131415,-0.427878,-0.003274,-5.620718,10.644230,60.266495,-1.265806,0.956286,4.575366,-159.567917,0.215415,-2.016459
1.583333,0.158800,-0.407350,0.000000,0.131973,-0.427557,-0.003288,-5.568660,10.613315,60.671658,-1.278427,0.966030,4.624074,-160.976837,0.211271,-2.045163
1.600000,0.138235,-0.400881,0.000000,0.132119,-0.427123,-0.003303,-5.516019,10.581192,61.074562,-1.290454,0.975216,4.672785,-162.352875,0.206797,-2.077518
1.616667,0.117530,-0.449367,0.000000,0.131858,-0.427667,-0.003307,-5.462890,10.545871,61.468979,-1.302096,0.984447,4.722009,-163.694641,0.204773,-2.103768
1.633333,0.162391,-0.400783,0.000000,0.132489,-0.427219,-0.003311,-5.408719,10.508995,61.863319,-1.313849,0.993977,4.771419,-165.006622,0.200475,-2.131639
1.650000,0.124433,-0.449343,0.000000,0.132358,-0.427751,-0.003335,-5.353468,10.465439,62.255653,-1.324490,1.002649,4.820018,-166.291656,0.197982,-2.153163
1.666667,0.134605,-0.400349,0.000000,0.132414,-0.427303,-0.003338,-5.299768,10.423002,62.637390,-1.336861,1.011515,4.869442,-167.540863,0.195514,-2.172396
1.683333,0.158810,-0.434991,0.000000,0.132952,-0.427536,-0.003361,-5.245474,10.380815,63.020359,-1.348921,1.021270,4.917820,-168.760361,0.191093,-2.199411
1.700000,0.103648,-0.418033,0.000000,0.132387,-0.427436,-0.003364,-5.191216,10.335748,63.395596,-1.360588,1.030544,4.967299,-169.948608,0.188275,-2.220024
1.716667,0.145060,-0.421359,0.000000,0.132661,-0.427404,-0.003367,-5.136566,10.290542,63.763882,-1.372439,1.040129,5.016640,-171.103333,0.185671,-2.239938
1.733333,0.155555,-0.456280,0.000000,0.133119,-0.428081,-0.003379,-5.082983,10.244322,64.130798,-1.385391,1.049080,5.065436,-172.229385,0.183353,-2.265121
1.750000,0.145218,-0.435648,0.000000,0.133392,-0.428322,-0.003402,-5.028002,10.199868,64.496635,-1.396605,1.058745,5.113587,-173.324463,0.178256,-2.298010
1.766667,0.158924,-0.449123,0.000000,0.133933,-0.428827,-0.003394,-4.972404,10.151580,64.853584,-1.407867,1.068421,5.163470,-174.389587,0.176048,-2.320325
1.783333,0.103664,-0.425020,0.000000,0.133348,-0.428831,-0.003406,-4.919144,10.106007,65.204147,-1.420199,1.079181,5.211892,-175.425095,0.171473,-2.346941
1.800000,0.138130,-0.448906,0.000000,0.133454,-0.429322,-0.003418,-4.865668,10.058290,65.554062,-1.432843,1.089142,5.260457,-176.434235,0.167544,-2.376311
1.816667,0.148668,-0.407964,0.000000,0.133789,-0.428985,-0.003400,-4.809944,10.005952,65.899292,-1.443915,1.098722,5.310980,-177.417496,0.164950,-2.395643
1.833333,0.155599,-0.421842,-0.000000,0.134246,-0.428921,-0.003422,-4.755537,9.955678,66.240929,-1.455749,1.109090,5.359043,-178.373199,0.160318,-2.421461
1.850000,0.183042,-0.490400,0.000000,0.135242,-0.430241,-0.003423,-4.700422,9.900480,66.575233,-1.467523,1.118689,5.408351,-179.302155,0.160131,-2.438159
1.866667,0.203824,-0.383459,0.000000,0.136614,-0.429394,-0.003445,-4.646886,9.848621,66.904610,-1.480714,1.128873,5.456250,179.796021,0.155998,-2.459745
1.883333,0.172627,-0.466089,-0.000000,0.137345,-0.430208,-0.003466,-4.593467,9.793966,67.225998,-1.493508,1.139550,5.504104,178.919968,0.154864,-2.474384
1.900000,0.093248,-0.400615,-0.000000,0.136494,-0.429706,-0.003446,-4.539673,9.737587,67.546288,-1.505009,1.149550,5.554368,178.066147,0.153159,-2.488527
1.916667,0.103680,-0.445804,0.000000,0.135878,-0.430107,-0.003437,-4.485786,9.684458,67.867912,-1.516063,1.160391,5.603911,177.238190,0.149053,-2.516723
1.933333,0.162251,-0.410798,0.000000,0.136436,-0.429811,-0.003439,-4.431131,9.624884,68.180550,-1.527209,1.170091,5.653171,176.431198,0.148153,-2.527243
1.950000,0.131358,-0.407888,-0.000000,0.136355,-0.429462,-0.003450,-4.377716,9.564442,68.492142,-1.538763,1.179553,5.701951,175.644012,0.146610,-2.540036
1.966667,0.145139,-0.445777,0.000000,0.136551,-0.429888,-0.003461,-4.324831,9.504854,68.798172,-1.550759,1.188951,5.750477,174.882904,0.145882,-2.556632
