Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.016667,-2.190952,-1.528794,0.000000,-2.190952,-1.528794,0.000000,-0.095491,-0.023762,0.211678,-0.029077,-0.015427,0.040267,-2.190952,-1.528794,0.000000
0.033333,-2.650051,-1.623434,0.000000,-2.200169,-1.530812,-0.000162,-0.197403,-0.050151,0.415764,-0.062830,-0.032495,0.077793,-2.394442,-2.833165,0.046516
0.050000,-2.535323,-1.638712,0.000000,-2.206808,-1.533036,-0.000323,-0.290789,-0.072325,0.627711,-0.089236,-0.045686,0.116385,-2.634928,-4.140180,0.094006
0.066667,-1.875513,-1.428414,0.000000,-2.200159,-1.531029,-0.000459,-0.373567,-0.092051,0.828349,-0.115297,-0.059185,0.157883,-3.001042,-5.528199,0.160775
0.083333,-2.217680,-1.301136,0.000000,-2.200505,-1.526516,-0.000585,-0.465122,-0.108583,1.030529,-0.144698,-0.071148,0.198389,-3.332902,-6.964766,0.230392
0.100000,-2.436358,-1.588939,0.000000,-2.205198,-1.527871,-0.000732,-0.553726,-0.131542,1.221231,-0.174001,-0.086584,0.236673,-3.627789,-8.365351,0.299885
0.116667,-2.143283,-1.508556,0.000000,-2.203876,-1.527550,-0.000875,-0.633931,-0.149994,1.414416,-0.197980,-0.098897,0.276225,-3.963300,-9.774413,0.382504
0.133333,-1.923337,-1.297789,0.000000,-2.198180,-1.523001,-0.001026,-0.706020,-0.163992,1.600447,-0.220659,-0.108790,0.316722,-4.318064,-11.193774,0.477263
0.150000,-2.406610,-1.660914,0.000000,-2.202345,-1.525865,-0.001166,-0.792274,-0.186493,1.793913,-0.250055,-0.124009,0.355743,-4.645770,-12.589346,0.566628
0.166667,-2.328598,-1.659410,0.000000,-2.204826,-1.528602,-0.001303,-0.870901,-0.206625,1.983775,-0.276300,-0.136982,0.395232,-4.978016,-13.973999,0.663791
0.183333,-2.348678,-1.466335,0.000000,-2.207640,-1.527422,-0.001413,-0.945911,-0.223164,2.178690,-0.300672,-0.148327,0.436586,-5.311797,-15.358216,0.765949
0.200000,-2.023307,-1.478990,0.000000,-2.203869,-1.526520,-0.001564,-1.013248,-0.239922,2.355961,-0.323324,-0.160231,0.475827,-5.671459,-16.760336,0.887141
0.216667,-2.093826,-1.597148,0.000000,-2.201643,-1.528038,-0.001687,-1.083011,-0.260686,2.535683,-0.349232,-0.175133,0.516273,-6.036425,-18.151628,1.015518
0.233333,-2.411175,-1.466621,0.000000,-2.205790,-1.526895,-0.001807,-1.155475,-0.277844,2.708418,-0.376288,-0.187766,0.555584,-6.382741,-19.557329,1.141584
0.250000,-2.238056,-1.576168,0.000000,-2.206392,-1.527966,-0.001908,-1.219021,-0.297441,2.872181,-0.402104,-0.201756,0.596560,-6.739124,-20.952051,1.283698
0.266667,-2.093071,-1.589697,0.000000,-2.204082,-1.529266,-0.002006,-1.277449,-0.316096,3.028577,-0.427216,-0.214952,0.637860,-7.109323,-22.347725,1.441573
0.283333,-2.468949,-1.422865,0.000000,-2.209356,-1.527243,-0.002097,-1.343135,-0.333600,3.191158,-0.455104,-0.228514,0.678609,-7.469936,-23.752302,1.594162
0.300000,-2.683022,-1.495810,0.000000,-2.218804,-1.526721,-0.002228,-1.412545,-0.351808,3.349114,-0.484424,-0.242343,0.716109,-7.828188,-25.163534,1.747449
0.316667,-2.248986,-1.668595,0.000000,-2.219324,-1.529625,-0.002341,-1.469048,-0.370458,3.501854,-0.507870,-0.255500,0.755894,-8.216984,-26.569529,1.931678
0.333333,-2.161079,-1.348388,0.000000,-2.218175,-1.526105,-0.002432,-1.527815,-0.385692,3.662399,-0.535529,-0.268210,0.798220,-8.629829,-27.983110,2.130644
0.350000,-2.472508,-1.555643,0.000000,-2.223278,-1.526822,-0.002540,-1.588205,-0.405936,3.809107,-0.565567,-0.283928,0.837788,-9.031779,-29.401495,2.330505
0.366667,-2.537152,-1.729412,0.000000,-2.229531,-1.530959,-0.002636,-1.644315,-0.426575,3.959284,-0.592510,-0.298473,0.878733,-9.441510,-30.810291,2.541990
0.383333,-1.879117,-1.341740,0.000000,-2.222399,-1.527220,-0.002753,-1.687725,-0.436963,4.116627,-0.609764,-0.307241,0.921038,-9.904677,-32.235195,2.795887
0.400000,-2.125168,-1.237486,0.000000,-2.220451,-1.521531,-0.002838,-1.734460,-0.450070,4.273814,-0.633774,-0.318904,0.964738,-10.371723,-33.660908,3.054271
0.416667,-2.535628,-1.824716,-0.000000,-2.226730,-1.527720,-0.002933,-1.789901,-0.473565,4.411076,-0.662003,-0.336336,1.004856,-10.836070,-35.103168,3.321326
0.433333,-1.997958,-1.549452,0.000000,-2.222031,-1.528200,-0.003012,-1.827180,-0.487695,4.551769,-0.679777,-0.347075,1.047815,-11.341043,-36.545101,3.629443
0.450000,-1.733415,-1.175898,0.000000,-2.212175,-1.521219,-0.003118,-1.862482,-0.496350,4.690712,-0.698450,-0.355818,1.091869,-11.886580,-38.006706,3.972805
0.466667,-2.412624,-1.694734,0.000000,-2.216199,-1.524796,-0.003237,-1.909898,-0.516893,4.811734,-0.727834,-0.371605,1.130453,-12.418965,-39.474892,4.309462
0.483333,-2.680443,-1.831604,-0.000000,-2.225459,-1.531057,-0.003332,-1.956213,-0.540906,4.929981,-0.756241,-0.389670,1.170353,-12.961143,-40.951458,4.663758
0.500000,-2.476971,-1.537772,0.000000,-2.230406,-1.531237,-0.003404,-1.999521,-0.553801,5.063993,-0.779036,-0.399697,1.212066,-13.552319,-42.436695,5.057099
