Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
0.016667,-2.297514,-1.094777,0.000000,-2.297514,-1.094777,0.000000,0.152297,0.073799,-0.696734,0.009309,0.003912,-0.060438,-2.297514,-1.094777,0.000000
0.033333,-2.730394,-1.186808,0.000000,-2.306230,-1.096651,-0.000075,0.287148,0.142734,-1.386440,0.013772,0.006326,-0.121108,-1.279157,-1.793178,0.031158
0.050000,-2.704003,-1.221797,0.000000,-2.314144,-1.099147,-0.000163,0.423239,0.212799,-2.072757,0.024031,0.010985,-0.182372,-0.242407,-2.489695,0.045375
0.066667,-2.035561,-0.979658,0.000000,-2.308581,-1.096760,-0.000225,0.563687,0.284269,-2.741645,0.033284,0.015659,-0.242120,0.684929,-3.257269,0.053270
0.083333,-2.347145,-0.914298,0.000000,-2.309371,-1.093123,-0.000289,0.696867,0.357048,-3.403662,0.041350,0.020086,-0.302525,1.670677,-4.040692,0.044061
0.100000,-2.603813,-1.152729,0.000000,-2.315248,-1.094329,-0.000375,0.825215,0.426363,-4.061077,0.050625,0.023994,-0.364226,2.701438,-4.793191,0.014627
0.116667,-2.276835,-1.122561,0.000000,-2.314409,-1.094867,-0.000438,0.957707,0.497108,-4.709137,0.064223,0.030287,-0.424618,3.702645,-5.550359,-0.024091
0.133333,-2.072846,-0.896405,0.000000,-2.309507,-1.090861,-0.000519,1.092332,0.571947,-5.342770,0.078733,0.037899,-0.485365,4.691981,-6.342489,-0.073646
0.150000,-2.514722,-1.204915,0.000000,-2.313629,-1.093156,-0.000602,1.207386,0.636185,-5.972035,0.086524,0.041638,-0.547034,5.715667,-7.101080,-0.148111
0.166667,-2.476377,-1.249754,0.000000,-2.316853,-1.096281,-0.000675,1.319830,0.698592,-6.594266,0.097121,0.046323,-0.608150,6.740152,-7.852062,-0.236989
